provider_id,category_id,product_name,model,year,color,km,price
14,BXG,Aston-Martin,V12 Vantage,2011,Lime,146920,41118
14,LLY,Jeep,Wrangler,2020,MidnightBlue,256365,15146
14,CVE,Alfa Romeo,4C,2018,BurlyWood,64615,17308
14,ASV,Toyota,Camry,2010,LightGray,94922,33917
15,PVN,Lamborghini,Centenario,2023,Bisque,205622,23425
15,III,Lexus,LS,2006,CornflowerBlue,178860,20042
15,ZLO,Kia,Sportage,2006,LimeGreen,247916,18546
15,NSS,Rolls-Royce,Wraith BlackBadge,1998,Salmon,134491,23344
15,LCF,Chevrolet,Silverado,2021,MediumSpringGreen,248163,31014
15,VOC,Ferrari,SF90 Stradale,2011,PapayaWhip,230749,42039
15,ESG,Cadillac,XT7,2005,YellowGreen,145409,30812
15,JIC,Chevrolet,HHR,2023,Green,126123,21566
15,FJB,Audi,Q3,2004,BurlyWood,183331,42246
15,MNW,Porsche,Cayman GT4,2013,AntiqueWhite,112945,31704
16,JNV,Dodge,Avenger,2019,OrangeRed,167164,23302
16,RIT,Land Rover,Range Rover SVR,2001,Tomato,41022,26709
16,AFR,Volvo,S60,2010,DarkGoldenRod,73949,25703
16,XVH,BMW,5 Series,2015,Cyan,168526,15795
16,ACP,McLaren,P1,2005,Coral,163589,23319
16,LQG,Maserati,Spyder,2008,PaleVioletRed,235364,43793
16,ABZ,Genesis,G80,1997,Magenta,34461,42201
16,INT,Aston-Martin,V8 Vantage,2015,LightBlue,117305,21039
16,RTK,BMW,X5,2009,Plum,119478,44380
16,DGQ,Audi,Q5,2000,DarkOliveGreen,173784,44271
16,JMA,Mitsubishi,Raider,2004,Chocolate,2634,22061
16,KKG,Chevrolet,HHR,2018,PeachPuff,101490,38957
16,FEC,Bugatti,Bolide,2005,RosyBrown,183894,17755
17,SZX,Cadillac,XT7,1996,DarkViolet,76606,26292
17,OJR,Ford,Mustang,2003,PapayaWhip,79760,25238
17,UCP,Buick,Skylark,2022,SteelBlue,233648,39387
17,XTB,Mitsubishi,Diamante,2001,DarkCyan,168159,37681
17,HTV,Acura,MDX,1998,Black,54663,37137
17,AVK,Maserati,Biturbo,2014,Tomato,151967,16675
17,JTU,Hyundai,Nexo,2004,Plum,50552,18235
17,ZIN,McLaren,600LT,2003,DeepSkyBlue,141590,20533
17,HKN,Mini,Paceman,2011,Blue,138638,39759
17,HVW,Ferrari,SF90 Stradale,1998,SlateBlue,89117,27429
17,LEG,Aston Martin,Vantage Roadster,2015,DarkKhaki,53666,42395
17,TCQ,Dodge,Durango,2018,LightPink,229349,30320
17,EOP,Ford,F-150,2022,DarkMagenta,233094,36521
17,GUO,Maserati,Biturbo,1997,Aqua,130695,21282
18,OVI,Nissan,Murano,2012,PaleVioletRed,24821,25594
18,HXU,Chevrolet,HHR,2008,DeepSkyBlue,217794,33916
18,CJK,Tesla,Model ATV,1999,Sienna,130867,43451
18,EVC,Land Rover,Range Rover Evoque,2013,DarkGoldenRod,188254,15512
18,VDQ,Subaru,Ascent,2005,Bisque,129832,43481
18,XZV,Lexus,HS,2006,Tan,200798,37095
18,GHH,BMW,M3,1996,Violet,211551,17913
18,QLI,Lamborghini,Urus,2008,DarkOrchid,131194,30047
18,EUD,Subaru,SVX,2011,LightCyan,81919,18097
18,DXO,Ford,F-150,2016,HoneyDew,122654,35852
18,UMO,Land Rover,Range Rover Sport,2004,Black,131503,23218
18,NPQ,Honda,Passport,2022,Salmon,127057,16304
18,KJV,Dodge,Magnum,2012,DarkSalmon,33812,16638
18,LLR,Buick,LaCrosse,2018,LimeGreen,142198,34168
18,XKN,Kia,Sorento,1998,Magenta,79663,34839
18,TON,Maserati,Levante,2008,SeaShell,244801,17294
18,PEZ,BMW,X3,2021,HotPink,79087,19167
19,EOP,Bentley,Continental GT,2008,Snow,64190,24547
19,GKA,Kia,K900,2011,Blue,232,38273
19,UWW,Dodge,Magnum,2012,SeaGreen,96050,30279
19,HTM,Rolls-Royce,Dawn,2021,DarkGray,56825,37355
19,XQF,Dodge,Dart,1996,Khaki,170102,42047
19,JQP,Hyundai,Santa Fe,2021,SlateBlue,39842,37147
19,JCZ,Maserati,Alfieri,2004,LightSlateGray,169550,25911
19,FRO,Porsche,Cayman GT4,2012,Lime,206464,38471
19,MKE,Land Rover,Range Rover LWB,2003,Linen,84022,37081
19,MPK,GMC,Acadia Denali,2002,DeepSkyBlue,205228,41635
19,IIB,Hyundai,Elantra,2022,LightSeaGreen,59656,16012
19,ZHL,Volvo,XC40,2005,SaddleBrown,263645,43298
20,JBF,Subaru,Impreza,2021,LightSalmon,149731,21414
20,YDL,Rolls-Royce,Corniche,1998,LightBlue,29314,24513
20,QZW,Hyundai,Sonata,2019,LawnGreen,8612,27173
20,LLQ,Volkswagen,Passat,2018,Violet,6830,29828
20,SUH,Ford,F-150,2001,GreenYellow,61245,27060
20,BCR,Volkswagen,Tiguan,2004,MintCream,117389,41680
20,AHY,Chevrolet,Equinox,2017,Snow,178066,19965
20,QIX,Chevrolet,Spark,2014,MediumAquaMarine,142524,44363
20,TZH,Lamborghini,Sian,2016,DeepPink,144931,33337
20,LUI,GMC,Yukon,2004,GreenYellow,260436,19508
20,NZW,Volkswagen,Atlas,1998,DeepSkyBlue,5023,36767
20,RVR,Kia,Telluride,2010,HoneyDew,161794,27185
20,LOG,Volkswagen,Tiguan,2018,Brown,185095,19878
20,XKN,Hyundai,Elantra,2021,Salmon,178551,24992
20,HGN,Audi,Q3,2002,Beige,66590,24182
20,NAV,Acura,ILX,1999,Aqua,32669,16474
20,MYT,Hyundai,Kona,2023,PaleGreen,125215,33483
21,YAQ,Volkswagen,Touareg,2022,Tan,28041,24186
21,IQT,Bentley,Continental GT,2010,Olive,206034,34262
21,OEC,Rolls-Royce,Silver Shadow,2009,SeaShell,20025,30608
21,SEB,Nissan,Murano,2009,Beige,167670,25023
21,NCS,Audi,Q8,2020,FireBrick,122518,25030
21,IUD,Hyundai,Kona,1996,SkyBlue,145953,25497
21,DUH,Infiniti,Q60,2007,LightCyan,160725,29633
21,HSJ,Toyota,C-HR,2012,MintCream,198755,32964
21,FVZ,Rolls-Royce,Silver Shadow,2005,DarkSeaGreen,121648,40116
22,QFV,Dodge,Grand Caravan,1999,MediumSpringGreen,196910,16965
22,WBJ,BMW,X6,2023,HoneyDew,108345,44333
22,XYF,Mercedes-Benz,GLE,2004,SpringGreen,127231,44283
22,GPL,BMW,5 Series,2005,MidnightBlue,53565,38753
22,LFQ,Rolls-Royce,Wraith BlackBadge,2005,IndianRed,238048,30850
22,DUH,Mini,Countryman,2002,Beige,96617,40510
22,ZMV,Honda,Ridgeline,2021,PowderBlue,76299,27082
22,ZYB,BMW,i3,2010,PapayaWhip,94932,41113
22,FJF,Nissan,Rogue,1997,Khaki,190182,27501
22,TOS,Alfa-Romeo,Brera,2005,Green,203919,33784
22,KXN,Alfa Romeo,TZ3 Stradale,1997,Teal,150701,29936
22,AAR,Aston-Martin,DB11,1996,DarkOliveGreen,54845,35222
22,APX,Bugatti,Chiron,2017,LemonChiffon,151169,22031
22,QKF,Ferrari,F12 Berlinetta,2002,Beige,245304,22408
22,EIE,Bugatti,Chiro Sport,2010,LightCoral,74425,41159
22,RTM,Lamborghini,Urus,2005,DarkOliveGreen,242832,15505
22,DYP,Acura,MDX,2012,MintCream,44210,21582
22,PHY,Tesla,Model S,1997,LightCyan,268894,41997
22,JXP,Alfa-Romeo,Brera,2022,DarkGreen,100845,36980
22,UJK,McLaren,600LT,2000,WhiteSmoke,189945,18584
22,TYK,Volkswagen,Arteon,2009,MediumSeaGreen,113109,18484
22,AAR,Bentley,Bentayga Speed,2016,Tomato,254235,33532
22,NZY,Hyundai,Venue,2017,MintCream,265634,39361
22,XDI,Bentley,Bentayga Mulliner,1996,DarkSlateBlue,34087,42790
22,PSS,Aston-Martin,V8 Vantage,2016,OrangeRed,88537,37519
22,XZJ,Dodge,Dart,2003,WhiteSmoke,19895,20194
22,SGY,Tesla,Model X,2017,SteelBlue,205220,28264
22,QIW,Nissan,Murano,2003,LightSalmon,264255,31079
23,TPW,Buick,Enclave,2000,DarkGray,218771,28956
23,VLU,Dodge,Durango,2014,IndianRed,142444,35000
23,TXS,McLaren,600LT,2017,Green,132352,22271
23,TCQ,Subaru,Ascent,2009,Snow,75839,21850
23,UAB,Mercedes-Benz,C-Class,2009,Gold,146697,34543
23,BZP,Toyota,Land Cruiser,2020,CornflowerBlue,187539,21580
23,MWJ,Ferrari,F12 Berlinetta,2007,DarkMagenta,173771,21472
23,TAO,Toyota,C-HR,2016,DarkTurquoise,130071,19831
23,BWT,Ford,Explorer,2018,NavajoWhite,222451,18209
23,OVN,Maserati,Sebring,2021,Snow,202438,28841
23,FET,Porsche,911 Turbo,2007,SteelBlue,143422,36203
23,LIB,Nissan,370Z,2014,CornflowerBlue,230491,22939
23,FCD,Mazda,CX-5,2005,Gold,72230,32835
23,SWE,BMW,M3,2009,Aqua,144964,44098
23,KCU,McLaren,600LT Spider,2019,MediumSpringGreen,127178,31228
23,IMJ,Nissan,Maxima,1999,RoyalBlue,12000,16157
23,WUY,Rolls-Royce,Dawn,2020,Blue,233518,21292
23,GUO,Cadillac,XT5,2016,PaleVioletRed,221444,25539
24,SHC,Dodge,Grand Caravan,2023,BlueViolet,246553,23776
24,MEI,Infiniti,Q50,2019,LightGray,199330,22251
24,YRI,Bugatti,Chiron Pur Sport,2010,FireBrick,30237,38445
24,TMZ,Kia,Telluride,2010,AntiqueWhite,119159,26833
24,TNF,Alfa-Romeo,Spider,2011,Indigo,36185,34663
24,EAN,Dodge,Journey,2000,CornflowerBlue,173309,42691
24,XOO,Mitsubishi,Outlander,2012,SpringGreen,72656,24928
24,WZF,Lexus,ES,1999,HoneyDew,196534,39688
24,CZR,Maserati,Sebring,2021,DarkBlue,148705,28244
24,ZER,Bugatti,Chiron,2001,LightCoral,155644,30430
24,XPN,Mini,Convertible,2018,SandyBrown,120739,39067
24,XKE,McLaren,P1,2003,Thistle,136866,31460
24,ZLO,Toyota,4Runner,1997,PaleVioletRed,197591,39397
24,AWN,GMC,Yukon XL,2008,Gray,79588,35569
25,NWO,Nissan,Altima,2018,SeaShell,159697,33304
25,EJJ,McLaren,570S,2000,Turquoise,176259,20843
25,FTP,Bugatti,Veyron Grand Sport,2023,ForestGreen,20869,35804
25,VES,Honda,Civic,2005,DeepPink,237468,17451
25,OJR,Ferrari,F12 Berlinetta,2017,DarkSlateGray,231395,42746
25,PUP,Volvo,V90,2007,NavajoWhite,75747,35002
25,JBS,Volvo,XC60,2022,PaleGreen,96781,33027
25,HUL,Volkswagen,Passat,2000,DarkOliveGreen,184054,32521
25,FEP,GMC,Yukon,2017,BlanchedAlmond,219598,25680
26,LVK,Audi,Q5,2007,DarkOrchid,168711,25979
26,XNS,Jaguar,XE,2007,LightSteelBlue,6363,32222
26,VES,Hyundai,Kona,2013,WhiteSmoke,147084,42665
26,MYZ,Hyundai,Venue,2019,DarkOrange,107086,27111
26,WIR,Chrysler,300,2014,BlueViolet,32664,25339
26,SWY,Honda,CR-V,2005,OldLace,121798,37221
26,KXM,Mazda,Three,2023,MediumSlateBlue,258987,40649
26,WQB,Subaru,Impreza,2023,CornflowerBlue,153321,44868
26,JJK,Porsche,Cayman GT4,2007,Thistle,184153,34021
26,TCL,Kia,Telluride,1999,SlateBlue,127423,17020
27,CIU,Cadillac,Escalade,2007,Olive,972,19974
27,XFQ,Lexus,GX,1996,DarkBlue,113637,26476
27,IBR,Land Rover,Range Rover Evoque,2021,SeaGreen,202052,20534
27,LVW,Nissan,Juke,2014,Tan,155127,30387
27,DDC,Volvo,S90,1998,White,166257,15151
27,QHG,Volkswagen,Tiguan,2002,Beige,102101,32417
27,ONW,Cadillac,XT5,2015,CadetBlue,121306,21853
27,RMB,Land Rover,Range Rover Sport,2001,Linen,36706,19183
27,AIC,Kia,Telluride,2009,CornflowerBlue,225663,41195
27,APX,BMW,7 Series,2004,PaleGreen,135370,16792
27,BBV,Kia,Soul,2019,Teal,198968,25675
27,MJV,Jeep,Patriot,2002,Orchid,209941,25608
27,DOW,Land Rover,Range Rover LWB,2011,BlueViolet,218667,44892
27,IWU,BMW,7 Series,2005,Orange,55036,17474
27,TSE,Lexus,HS,1998,Orchid,91363,20689
28,KXN,Subaru,Tribeca,2009,Maroon,85340,18494
28,UUT,Acura,TLX,1997,BurlyWood,207424,22966
28,WJS,Cadillac,CTS,2017,Salmon,87922,15797
28,HCU,Mitsubishi,Eclipse,2016,OliveDrab,85347,22495
28,UCI,Ferrari,Portofino,2017,BlanchedAlmond,193253,19938
28,MLD,Bentley,Bentayga Speed,2004,LightCoral,81269,29950
28,LRN,Lexus,LFA,2007,PapayaWhip,180435,19241
28,PDB,Toyota,Tundra,2010,LightCyan,132497,23792
28,JUO,Lexus,LS,2008,DarkKhaki,47455,39548
28,HXU,Aston-Martin,Rapide,2006,Chocolate,146074,19564
28,SAJ,Aston-Martin,V12 Vantage,1997,LightSlateGray,27809,27100
29,LFB,Volkswagen,Beetle,2016,PaleTurquoise,226504,34078
29,BWV,Genesis,G90,1996,LightGray,94714,25847
29,QHG,GMC,Acadia Denali,2005,Moccasin,241527,20083
29,OOL,GMC,Acadia,2000,LightBlue,146810,16514
29,VAF,Mazda,MX-5,2005,Snow,32081,19322
29,DMU,Mitsubishi,Raider,2011,DarkOrchid,103425,35023
29,ZHN,Porsche,718 Boxster,2012,DarkBlue,147870,26962
29,WCS,Volvo,S90,2004,Coral,66171,41849
29,WHO,Mitsubishi,Raider,2007,Olive,269099,34290
29,UOJ,Ferrari,Roma,2009,Blue,158254,32030
29,JNW,Toyota,Highlander,2019,HotPink,41099,26781
29,KRE,Rolls-Royce,Phantom Drophead Coupe,2018,SteelBlue,232694,34803
29,WAI,Audi,S4,1996,DarkMagenta,22077,20789
29,NCR,BMW,X7,2010,DimGray,205993,28743
29,STG,Nissan,Armada,2015,PaleGreen,52853,39121
30,NRB,Tesla,Model Semi,1996,MediumOrchid,162701,34209
30,VVN,Bugatti,Chiron,2023,BlanchedAlmond,7211,20363
30,ZWW,Dodge,Dart,2019,Black,182248,26410
30,AQX,Ferrari,SF90 Stradale,1999,LightSlateGray,245558,18064
30,RTE,Mitsubishi,Outlander,2018,LightSlateGray,48243,28252
30,MLJ,Mazda,RX-8,2023,SeaGreen,240876,18467
30,XPC,McLaren,P1,2022,Tan,204203,30533
30,ZNI,Land Rover,Range Rover,2015,YellowGreen,210338,38709
30,EEB,Aston Martin,Vantage Roadster,1998,NavajoWhite,153342,20704
30,UIM,McLaren,675LT,2021,Cyan,141244,40976
30,EFQ,Bugatti,Chiro Sport,1998,Khaki,233159,26498
30,LFB,Aston Martin,Vantage Roadster,1998,CadetBlue,38289,27684
30,XVD,Genesis,G90 Limousine,2011,MediumSlateBlue,86765,36484
30,EFA,Ferrari,488,2002,Gold,77472,40577
30,WOZ,Lexus,LFA,1998,Tomato,81255,18548
30,QVA,Alfa,Romeo 6C,2011,PapayaWhip,121348,23428
31,EJR,Mini,Roadster,2023,FloralWhite,251010,36191
31,COQ,Buick,Cascada,2000,Wheat,204029,25965
31,FVC,Maserati,Ghibli,1999,Olive,206767,34975
