category_id,employee_id,category_name,rating,quantity_sold,being_manufactured,total_sold_value
QCG,3342,Minivan,68 %,44409,1,4828475
YZQ,2969,Pickup Truck,55 %,82039,1,6300594
SJD,1141,Minivan,14 %,99222,1,5454814
WZX,4608,Pickup Truck,63 %,33512,1,528961
TLX,2729,Hybrid Car,4 %,55398,1,7202620
CPF,2177,Sports Car,15 %,31725,1,9727784
ZNI,4250,Microcar,14 %,39627,1,2360345
QGT,3530,Coupe-SUV,2 %,73745,1,2428891
NNE,3928,Hybrid Car,82 %,54406,1,7392094
HSJ,3001,Coupe,47 %,26484,1,4467319
KVZ,1731,Crossover,84 %,27520,1,7884292
AAE,2899,Sports Car,76 %,72983,1,5677107
KIY,3305,Electric Car,45 %,48693,1,6918086
NFM,4650,Hybrid Car,99 %,86897,1,3573764
SHA,2351,Luxury Car,53 %,96127,1,7439841
XGF,1228,Coupe-SUV,59 %,64261,1,6114121
XAV,2395,Pickup Truck,77 %,66767,1,1730917
DXA,2250,Coupe,72 %,67735,1,6425960
BXW,1786,Sedan,71 %,40935,1,9092270
HBX,2262,Pickup Truck,79 %,60722,1,4995610
BTT,3865,Coupe-SUV,47 %,76770,1,9379330
ZMK,4165,Crossover,97 %,14648,1,4951846
XCO,2155,Sports Car,45 %,39239,1,3353576
AZG,1211,Crossover,93 %,15719,1,2316761
FRO,2216,Coupe,38 %,67750,1,361748
WBJ,596,Coupe-SUV,54 %,82980,1,9725195
AYL,4233,Crossover,28 %,83977,1,7435310
MRT,3099,Microcar,84 %,60741,1,2456754
UXF,945,Minivan,97 %,51781,1,8662790
AJE,4651,Electric Car,87 %,17240,1,2868089
XIN,2093,Hybrid Car,97 %,22885,1,9063749
YIE,2770,Convertible,37 %,31677,1,5544077
ZZB,745,Luxury Car,6 %,19091,1,7524852
GMM,4233,Sports Car,40 %,69353,1,3829217
PXK,4524,Sports Car,14 %,88071,1,3564057
EKI,3740,SUV (Sport Utility Vehicle),39 %,73186,1,3015687
GFQ,1086,Coupe-SUV,69 %,67090,1,9447160
XQO,1662,Off-Road Vehicle,61 %,49528,1,4411744
NBL,2275,Coupe-SUV,49 %,99939,1,1739481
MQJ,2239,Coupe,63 %,26626,1,5786997
SLF,2203,Minivan,73 %,50954,1,7123483
EUY,3656,Electric Car,100 %,95710,1,9558918
ANX,766,SUV (Sport Utility Vehicle),24 %,92497,1,1196391
DFD,3808,Pickup Truck,50 %,52721,1,1331817
ROK,1166,Luxury Car,10 %,81489,1,7796908
UDW,2647,Luxury Car,87 %,59373,1,4511501
ZXT,2831,SUV (Sport Utility Vehicle),91 %,72860,1,8083239
AVW,3771,Luxury Car,44 %,84682,1,296787
FAR,2683,Off-Road Vehicle,67 %,50961,1,669056
QIP,3181,Microcar,29 %,58107,1,5789787
QKY,3238,Hybrid Car,26 %,90153,1,3136757
MZH,1157,Minivan,63 %,83207,1,4104882
MHG,3307,Coupe,64 %,14873,1,4431867
DRG,3957,Coupe,52 %,22712,1,5495998
DBI,3107,Coupe-SUV,61 %,15902,1,9809789
FYR,2600,Pickup Truck,18 %,62332,1,8159111
LFL,3900,Off-Road Vehicle,31 %,22398,1,9248405
YZT,1756,Luxury Car,50 %,86374,1,2791482
CBT,1494,Off-Road Vehicle,52 %,22712,1,7150768
LFV,1258,Pickup Truck,36 %,17388,1,9079576
ARM,507,Convertible,13 %,82993,1,7190135
ATB,2354,Pickup Truck,39 %,73787,1,1584208
WWP,1971,Coupe-SUV,45 %,44178,1,1876333
HPB,4303,Electric Car,49 %,48004,1,2151124
LGZ,1294,Hybrid Car,37 %,12624,1,1922549
DZH,3899,Pickup Truck,55 %,45565,1,6165254
LPH,1020,Coupe,23 %,50412,1,702209
ASS,804,Hybrid Car,46 %,30723,1,1102762
LTL,734,Sports Car,17 %,96736,1,1664933
AUY,4022,Sports Car,75 %,35306,1,521603
WHV,1859,Sedan,68 %,63225,1,6877307
BLM,3257,SUV (Sport Utility Vehicle),18 %,68974,1,6617588
RIT,2337,Luxury Car,1 %,64409,1,8965000
LQH,2853,Sports Car,48 %,17786,1,9630880
LAE,1580,SUV (Sport Utility Vehicle),73 %,31605,1,8785993
NEC,1485,Hybrid Car,23 %,75519,1,2867398
PVW,4170,Coupe-SUV,20 %,46706,1,8154351
EAS,1287,Off-Road Vehicle,64 %,52403,1,1125649
YRC,4201,Crossover,62 %,76527,1,8432334
YXK,3330,Coupe,80 %,74462,1,1948822
NZY,2066,Hybrid Car,49 %,29248,1,9318030
JBS,807,Coupe-SUV,26 %,26173,1,8793231
MJS,3909,Sedan,3 %,95094,1,1616566
HKN,2757,Convertible,90 %,63751,1,3162121
ANJ,2238,Crossover,68 %,18794,1,6558987
HDP,4514,Hatchback,26 %,38663,1,4570143
MOH,1976,Luxury Car,53 %,17109,1,9435030
PFP,3630,Sedan,40 %,96303,1,8476929
EOW,4071,Electric Car,1 %,30312,1,5720617
PVD,2692,Electric Car,89 %,49528,1,7104141
DOK,993,Hatchback,40 %,69792,1,4671714
POR,571,Electric Car,88 %,68414,1,5263151
PXE,4230,Electric Car,39 %,82361,1,6101958
CUY,2368,Electric Car,42 %,92441,1,3215428
MXW,1985,Electric Car,35 %,18465,1,376727
IEO,2255,Sedan,19 %,94047,1,1244344
XCP,1540,Luxury Car,52 %,76185,1,880010
ONL,663,Electric Car,60 %,15700,1,4012764
NVE,3906,Microcar,6 %,26437,1,6346855
VOU,1075,SUV (Sport Utility Vehicle),36 %,35606,1,9598275
DSA,1382,Pickup Truck,85 %,53836,1,5543811
KGM,3170,SUV (Sport Utility Vehicle),20 %,70469,1,1815107
RVR,1486,Convertible,43 %,27481,1,6418150
DQI,632,Off-Road Vehicle,7 %,66799,1,6077730
OSM,1173,Coupe,68 %,23567,1,7893336
MWT,3678,Luxury Car,53 %,70591,1,9888269
XYZ,1303,Convertible,30 %,83147,1,8846870
SGI,2096,Hatchback,13 %,76619,1,7424134
ORA,2554,Coupe,32 %,35152,1,9007374
LAH,3702,Hatchback,25 %,85862,1,6577143
DAK,3240,Hatchback,41 %,16630,1,8916873
VCV,4038,Electric Car,34 %,27724,1,834832
KSR,1307,Hatchback,25 %,90185,1,9694143
TQG,1505,SUV (Sport Utility Vehicle),37 %,59180,1,2509592
NOC,581,Sports Car,18 %,21264,1,5074826
KVH,1259,Hatchback,30 %,47752,1,6490558
CIP,2692,Convertible,44 %,47009,1,3001973
YER,3397,Crossover,43 %,78270,1,5529171
TOL,3715,Crossover,44 %,77091,1,1507154
JUL,3773,Hybrid Car,86 %,68760,1,641810
WKB,1264,Crossover,70 %,13108,1,8924789
HXB,1619,Minivan,99 %,14906,1,1735872
AMM,2598,Coupe-SUV,17 %,54719,1,4571595
WYL,3968,SUV (Sport Utility Vehicle),4 %,41702,1,713371
CGZ,1234,Minivan,56 %,32448,1,4517878
OZI,1246,Crossover,94 %,36906,1,5783736
LBW,1180,Microcar,55 %,19204,1,9336325
RDS,4150,Off-Road Vehicle,95 %,15044,1,3320766
SPH,1749,Electric Car,95 %,38715,1,9206858
ZSK,3786,Off-Road Vehicle,25 %,36903,1,3163526
VXB,2805,Minivan,41 %,66858,1,622425
KNW,3231,Sedan,76 %,98644,1,8282445
XLU,1749,Electric Car,58 %,92441,1,9107294
ZRP,4680,Microcar,24 %,48052,1,7663432
ARO,2170,Off-Road Vehicle,93 %,66672,1,3050185
FGP,2718,Off-Road Vehicle,30 %,34215,1,9965199
ZUQ,1816,Coupe,98 %,82129,1,984306
UVY,2214,Hatchback,2 %,94993,1,8376710
CQW,1835,Hatchback,53 %,52369,1,3593605
SCY,509,Microcar,38 %,55385,1,7749761
SNR,3736,Off-Road Vehicle,32 %,73333,1,6293986
CSS,1570,Microcar,77 %,85987,1,8819201
DOS,1879,Sedan,78 %,42526,1,1280374
DPO,909,Hybrid Car,44 %,80897,1,5917128
BMF,3510,Sedan,31 %,30277,1,1505391
XVT,4589,Luxury Car,61 %,72060,1,8899142
MKF,2092,Microcar,21 %,45013,1,1916562
DJQ,3760,Off-Road Vehicle,9 %,76859,1,1603618
UWJ,1860,Sports Car,64 %,34952,1,1048066
WOW,2136,Crossover,35 %,47768,1,977069
TSE,4539,Minivan,81 %,29037,1,3030725
FCV,3811,Microcar,80 %,93363,1,761230
AMZ,836,Minivan,37 %,17645,1,3280443
FEW,4076,Off-Road Vehicle,77 %,66505,1,5849368
FMN,2447,Microcar,27 %,60160,1,9079853
OYY,3412,SUV (Sport Utility Vehicle),25 %,91664,1,2275223
MHT,2781,Off-Road Vehicle,77 %,78890,1,641313
PLE,3541,Pickup Truck,47 %,63905,1,5878030
QBX,3252,Convertible,24 %,13888,1,7347457
KWZ,4458,Hybrid Car,13 %,74412,1,9015161
CDB,3407,Luxury Car,49 %,65494,1,8851839
UUJ,2436,SUV (Sport Utility Vehicle),16 %,51004,1,1793831
CMQ,2189,Microcar,30 %,80471,1,8093725
SEL,2771,Convertible,24 %,51624,1,279348
SDF,790,Microcar,45 %,96567,1,5595891
SMA,1515,Sports Car,10 %,78978,1,3195513
LHC,525,Sedan,67 %,53474,1,4317133
DXR,3092,Coupe,22 %,74263,1,3844935
JBF,2980,Pickup Truck,99 %,57181,1,4433714
OHT,3232,Electric Car,13 %,16664,1,5307546
JJS,1264,Pickup Truck,21 %,71225,1,9873585
VMQ,945,Hybrid Car,1 %,27757,1,6462284
RBB,4563,Microcar,23 %,89866,1,9119276
ERF,1851,Electric Car,28 %,17940,1,9038225
MPT,1553,Hatchback,13 %,58145,1,1347470
LRN,2308,SUV (Sport Utility Vehicle),2 %,26795,1,6796312
FAE,960,Convertible,96 %,37968,1,9020652
NZS,1624,Coupe-SUV,52 %,40990,1,2135513
WUA,4022,Coupe,86 %,40066,1,5063739
WBC,1799,Hybrid Car,51 %,22637,1,4771349
JXK,4165,Coupe,26 %,77430,1,5720053
YZC,1828,Sports Car,63 %,77324,1,3736874
QCR,3029,Off-Road Vehicle,10 %,37337,1,2659474
HTY,4334,Sedan,47 %,99493,1,3002039
QFL,3463,Sedan,31 %,19937,1,6861417
JPD,1044,Convertible,47 %,42162,1,5540168
OSZ,2665,Hybrid Car,95 %,57258,1,7505747
GRI,2621,Sports Car,67 %,21219,1,5677004
HHR,3029,Pickup Truck,28 %,50888,1,8039337
DUT,3971,Pickup Truck,70 %,15536,1,9451473
RNC,2791,Convertible,99 %,14135,1,4649991
HGO,4106,Hybrid Car,58 %,93312,1,6498305
XOZ,3932,Coupe-SUV,83 %,51485,1,2704039
WVH,4566,Hatchback,47 %,73249,1,6293848
JKJ,4367,Microcar,6 %,64378,1,9623893
XLJ,2141,Coupe,46 %,90539,1,8339792
NNJ,500,Convertible,50 %,18062,1,7403713
PQP,3171,Sedan,89 %,99603,1,9807543
KSN,4533,Microcar,22 %,92541,1,5166928
KNH,1222,Convertible,58 %,59386,1,3969463
YTT,2033,SUV (Sport Utility Vehicle),99 %,42855,1,383677
YPR,527,Crossover,18 %,42007,1,9207448
EUT,3640,Luxury Car,42 %,81407,1,3012665
XVS,511,Sports Car,93 %,17149,1,9684021
OOR,1876,Electric Car,12 %,36032,1,3227245
LFP,656,Hybrid Car,60 %,65562,1,1548915
VEU,1308,Pickup Truck,20 %,18584,1,3016331
DXL,1217,Coupe-SUV,36 %,95850,1,2771501
EXX,3063,Sports Car,13 %,13316,1,6571960
EUV,3153,Coupe,22 %,52335,1,4587067
IHG,2644,Sedan,30 %,53560,1,3334008
CHZ,2160,Coupe-SUV,85 %,46521,1,2248800
OCH,4148,Microcar,32 %,75937,1,875411
TJJ,4284,SUV (Sport Utility Vehicle),83 %,98478,1,5325986
OKY,4063,Crossover,33 %,44638,1,1054495
TOR,1143,Hybrid Car,29 %,27815,1,4452858
HIV,2487,Sports Car,69 %,47394,1,9260022
GPL,2076,Crossover,72 %,51720,1,6494726
XKT,3995,Off-Road Vehicle,76 %,99777,1,2712265
ZAS,3659,Minivan,11 %,15318,1,5694525
QVA,1389,Pickup Truck,50 %,82052,1,7651173
KKR,573,Coupe,97 %,24494,1,2389196
DBX,2828,Electric Car,77 %,43184,1,6404359
QKD,3126,Sports Car,75 %,34272,1,9124890
EFA,3307,Sedan,28 %,87613,1,2285867
EOE,1976,Crossover,88 %,75965,1,5860534
WCD,4267,Convertible,35 %,41759,1,716610
UIC,3198,Off-Road Vehicle,100 %,81490,1,5724111
YHM,3931,Hatchback,63 %,67004,1,6875558
ELM,1053,Microcar,41 %,17101,1,8391924
DMU,3726,Coupe-SUV,15 %,23671,1,6425468
UPN,4028,Convertible,59 %,23913,1,1293812
XPZ,3803,Luxury Car,57 %,35532,1,7594802
PNJ,4698,Minivan,67 %,16647,1,5577750
PVC,3046,Microcar,52 %,73004,1,7337625
ICQ,4346,Microcar,57 %,87517,1,5187885
OKO,1417,Sports Car,69 %,67344,1,2035812
HXN,3919,Minivan,84 %,92367,1,1139290
OEC,661,Sports Car,6 %,49256,1,4247294
HVW,4179,Sports Car,95 %,76515,1,4204435
HWK,1619,Convertible,21 %,81893,1,4129830
YDA,3461,Pickup Truck,78 %,24004,1,2873995
LKH,2661,Coupe-SUV,95 %,85706,1,8774586
QAN,1372,Sedan,9 %,79590,1,3279463
THB,3792,Sports Car,75 %,69049,1,3769130
WDW,1502,Off-Road Vehicle,89 %,95931,1,9946645
AQH,3838,Hatchback,92 %,49092,1,2147550
UFF,999,Sedan,52 %,36460,1,1255130
XHS,3008,Hybrid Car,47 %,98590,1,2645360
JRV,1255,Convertible,91 %,95939,1,9712796
NPR,2997,Microcar,47 %,64117,1,6302171
DTZ,2234,Coupe,39 %,46173,1,243957
NUZ,3749,SUV (Sport Utility Vehicle),5 %,31938,1,1680793
VES,1454,Pickup Truck,26 %,21361,1,6158743
FLU,2457,Convertible,48 %,68033,1,8893799
CYW,3016,Off-Road Vehicle,35 %,49847,1,2138353
ZNF,2749,SUV (Sport Utility Vehicle),21 %,43652,1,9782176
MHY,4109,Minivan,2 %,57681,1,700398
VHA,1907,Off-Road Vehicle,10 %,71467,1,1350374
JVF,3545,Microcar,95 %,81973,1,2782185
PIH,2191,Pickup Truck,20 %,99880,1,3635355
OTD,2407,Crossover,17 %,52254,1,4944107
HJU,2727,Crossover,33 %,74223,1,5934782
VQU,1696,Hatchback,35 %,81114,1,7525403
XQL,2034,Hatchback,32 %,28165,1,5969548
KZZ,4200,Minivan,98 %,60239,1,7283653
FJB,4255,Pickup Truck,58 %,28916,1,7949789
UGK,2766,Coupe-SUV,26 %,57361,1,1475255
VPJ,2683,Off-Road Vehicle,85 %,40535,1,9793977
HOH,1904,Sedan,70 %,37901,1,328698
EMY,4131,Sedan,72 %,54970,1,7404641
FTC,813,Electric Car,56 %,98188,1,2910897
XPG,3922,Hybrid Car,95 %,31262,1,1244377
PWO,4062,Microcar,52 %,70715,1,6107210
QCF,1836,Coupe,5 %,75478,1,4733740
EUP,3830,Convertible,34 %,81146,1,1792218
KQF,1548,Sports Car,97 %,61828,1,4634984
OTR,697,Minivan,28 %,88222,1,9082525
YQL,2739,Hatchback,38 %,62224,1,7185516
AYZ,1091,Crossover,58 %,61664,1,5413064
WLT,4565,Hybrid Car,35 %,32375,1,3184222
UGG,688,Pickup Truck,88 %,36649,1,4131600
GCR,2252,Hatchback,14 %,55915,1,7646882
VKR,1179,Coupe,84 %,87406,1,1955309
VIA,3144,Hatchback,99 %,85677,1,8425145
SDH,3014,SUV (Sport Utility Vehicle),75 %,29178,1,5082511
VQW,936,Off-Road Vehicle,64 %,13988,1,3065979
LCR,2328,Crossover,53 %,43809,1,8973897
MFB,1880,Pickup Truck,81 %,19425,1,2319555
GZY,1256,Coupe,64 %,68475,1,6058684
CML,949,Off-Road Vehicle,58 %,77823,1,1471576
TPP,3694,Coupe-SUV,66 %,80037,1,5237891
EKC,3830,Pickup Truck,87 %,49031,1,8886959
SON,3498,Microcar,73 %,56136,1,6208762
ZBB,715,Microcar,51 %,76729,1,3549044
TNF,3692,Hybrid Car,28 %,71576,1,7911827
YPU,788,Sedan,77 %,52089,1,8386267
GKH,4103,Microcar,67 %,84330,1,6401297
HCL,3421,Luxury Car,29 %,24256,1,5201150
JJK,4433,Pickup Truck,48 %,96325,1,4930228
POY,4652,Minivan,86 %,82809,1,7576053
EDC,3313,Convertible,90 %,52568,1,3720870
VFX,2082,Coupe-SUV,42 %,41567,1,6716336
EPZ,1931,Electric Car,81 %,64048,1,1349075
PRE,3059,Microcar,28 %,67319,1,8856156
GFY,3823,Coupe,90 %,35714,1,881181
RZF,2042,Coupe-SUV,13 %,60614,1,8322117
IMT,3714,Hatchback,46 %,28087,1,468028
GID,3364,Off-Road Vehicle,56 %,57425,1,797788
ITA,2426,Electric Car,17 %,67195,1,4954977
AAM,537,Microcar,55 %,40043,1,3949166
SLA,1428,Off-Road Vehicle,16 %,15074,1,1272551
CPI,3548,SUV (Sport Utility Vehicle),61 %,62359,1,3245403
QHG,1408,Luxury Car,31 %,53166,1,1199072
EEB,1722,Coupe,9 %,42182,1,2670015
ZZM,1478,SUV (Sport Utility Vehicle),36 %,49300,1,874153
RSF,2803,Pickup Truck,10 %,63611,1,3747008
SPJ,1973,Convertible,32 %,96432,1,444761
NEW,4173,Crossover,92 %,79277,1,3284134
SBN,2214,Minivan,100 %,54028,1,9080908
TDZ,2894,Luxury Car,93 %,73188,1,9099664
XAK,2940,Coupe-SUV,70 %,99833,1,6355099
FFA,2043,Coupe,18 %,81800,1,451730
VQH,2328,Minivan,83 %,68949,1,3420543
DUH,2240,Sports Car,75 %,60422,1,8042247
QMK,4025,SUV (Sport Utility Vehicle),37 %,68627,1,7764496
TIH,2237,Microcar,95 %,23342,1,7684737
DQC,1224,Minivan,14 %,59954,1,637738
ORB,3617,Sports Car,6 %,29209,1,1846823
EJH,1285,Convertible,95 %,23372,1,8976014
VHV,2854,Microcar,69 %,74935,1,3320529
QTI,3939,Crossover,72 %,91880,1,3859726
MJV,779,Hybrid Car,97 %,42845,1,4318962
ULP,1678,Off-Road Vehicle,30 %,69758,1,5351768
TSA,920,Sports Car,16 %,66713,1,9678976
CCI,2578,Hatchback,86 %,78987,1,7266746
XUP,4014,Coupe,79 %,56568,1,2593208
TYB,1855,Off-Road Vehicle,83 %,50412,1,6498977
JMA,2780,Coupe-SUV,88 %,57712,1,5493288
MWR,1056,Sports Car,51 %,54582,1,5088612
OZQ,4280,Convertible,69 %,19221,1,4894544
AED,1010,Pickup Truck,63 %,54513,1,411517
NSS,2121,Coupe-SUV,9 %,82333,1,9513019
KMT,508,Microcar,25 %,72136,1,7600658
TXV,605,Pickup Truck,98 %,63224,1,6481628
WVS,3728,Hybrid Car,74 %,12476,1,3587303
WLW,2644,Electric Car,56 %,16686,1,5798370
FVJ,1796,Coupe,70 %,95788,1,8204953
KKG,2733,Electric Car,67 %,81483,1,9384175
SJK,3720,Hybrid Car,89 %,72044,1,2446379
CZP,3254,Hatchback,89 %,31257,1,1762718
MKL,948,Sedan,7 %,88083,1,5239231
VRA,630,Crossover,50 %,42038,1,5409343
JJF,3924,Pickup Truck,5 %,67045,1,7018847
ASV,3100,Sports Car,96 %,64209,1,5653850
STS,3598,Hybrid Car,18 %,62105,1,6321188
RJO,1681,Minivan,74 %,34639,1,827298
ZCE,1434,Microcar,43 %,22900,1,8794095
RPP,1676,Minivan,45 %,13674,1,9611006
AHY,3630,SUV (Sport Utility Vehicle),10 %,30282,1,2235014
ARC,1426,Off-Road Vehicle,91 %,78388,1,8418505
AHP,1838,Sedan,90 %,39751,1,7890308
ZHO,3666,Coupe-SUV,72 %,74249,1,2986390
HVK,4265,Sedan,64 %,25011,1,838493
VBU,2970,Microcar,43 %,81246,1,8832143
HOT,3226,Microcar,7 %,43584,1,1459691
NNQ,4028,Electric Car,74 %,97467,1,4913951
CZN,1552,Microcar,67 %,28625,1,7446832
VEI,513,Hybrid Car,63 %,38683,1,5699103
ZWU,1818,Sedan,31 %,45406,1,6267756
OYM,4057,Luxury Car,32 %,60946,1,9524861
RTK,2527,Crossover,85 %,30009,1,4183008
MWC,3947,Microcar,32 %,85874,1,8805048
UJW,2646,Microcar,34 %,34571,1,9757823
HMU,3559,Convertible,99 %,71912,1,8919487
ESK,3320,Convertible,63 %,66541,1,2470966
IYS,2871,Electric Car,28 %,90732,1,3441692
YMB,3461,Convertible,2 %,96291,1,4979426
GAI,3903,Electric Car,46 %,18916,1,8995393
EJY,3896,Off-Road Vehicle,5 %,87509,1,8075268
BLV,4482,Electric Car,58 %,99204,1,5473183
ZGR,2334,Pickup Truck,64 %,35020,1,1315077
HPS,2983,Hybrid Car,2 %,91436,1,922487
RPT,844,Minivan,32 %,30065,1,491946
QSQ,3104,Pickup Truck,76 %,60730,1,5704418
YXS,2811,Sedan,98 %,59789,1,7977752
GHF,2372,Sports Car,34 %,94528,1,7114661
PCT,4657,SUV (Sport Utility Vehicle),81 %,19061,1,1688772
PMZ,1371,Off-Road Vehicle,91 %,21279,1,428706
NMW,2600,Off-Road Vehicle,31 %,16108,1,1544418
JWL,1426,SUV (Sport Utility Vehicle),28 %,25624,1,8598425
DDC,4425,Hybrid Car,42 %,89120,1,2967601
ZHZ,4081,Sports Car,45 %,75407,1,3687519
WBR,3260,Coupe-SUV,8 %,89194,1,5028801
JMZ,2271,Microcar,13 %,55982,1,7281210
DBG,4284,Microcar,11 %,90446,1,4557739
AAR,1501,Off-Road Vehicle,50 %,32400,1,6886192
IDL,1357,Off-Road Vehicle,73 %,14182,1,4531909
EKY,3983,Convertible,51 %,79862,1,4569595
YZV,2477,Pickup Truck,19 %,78183,1,342010
SJM,1116,Sports Car,65 %,89929,1,9814179
HBZ,4187,Microcar,42 %,82496,1,1127051
HIM,3036,Minivan,33 %,70692,1,982535
UIV,1899,Electric Car,62 %,37095,1,1582419
KAP,2368,Convertible,77 %,52701,1,6209185
MJN,1198,Crossover,73 %,41318,1,8433576
VYZ,4366,Coupe-SUV,69 %,42551,1,2185925
PKK,4473,Electric Car,93 %,31702,1,4210212
ECA,3387,Pickup Truck,27 %,33897,1,6382644
LYM,4616,Luxury Car,11 %,25380,1,2568466
